x,u
0.000000, 0.946832
0.031416, 0.980020
0.062832, 0.993556
0.094248, 0.996485
0.125664, 0.993947
0.157080, 0.986693
0.188496, 0.972199
0.219911, 0.945758
0.251327, 0.901336
0.282743, 0.832949
0.314159, 0.737030
0.345575, 0.615286
0.376991, 0.476592
0.408407, 0.336163
0.439823, 0.211337
0.471239, 0.115435
0.502655, 0.053040
0.534071, 0.019615
0.565487, 0.005458
0.596903, 0.001014
0.628319, 0.000094
0.659734, 0.000000
0.691150, 0.000000
0.722566, 0.000000
0.753982, 0.000000
0.785398, 0.000000
0.816814, 0.000000
0.848230, 0.000000
0.879646, 0.000000
0.911062, 0.000000
0.942478, 0.000000
0.973894, 0.000000
1.005310, 0.000000
1.036726, 0.000000
1.068142, 0.000000
1.099557, 0.000000
1.130973, 0.000000
1.162389, 0.000000
1.193805, 0.000000
1.225221, 0.000000
1.256637, 0.000000
1.288053, 0.000000
1.319469, 0.000000
1.350885, 0.000000
1.382301, 0.000000
1.413717, 0.000000
1.445133, 0.000000
1.476549, 0.000000
1.507964, 0.000000
1.539380, 0.000000
1.570796, 0.000000
1.602212, 0.000000
1.633628, 0.000000
1.665044, 0.000000
1.696460, 0.000000
1.727876, 0.000000
1.759292, 0.000000
1.790708, 0.000000
1.822124, 0.000000
1.853540, 0.000000
1.884956, 0.000000
1.916372, 0.000000
1.947787, 0.000000
1.979203, 0.000000
2.010619, 0.000000
2.042035, 0.000000
2.073451, 0.000000
2.104867, 0.000000
2.136283, 0.000000
2.167699, 0.000000
2.199115, 0.000000
2.230531, 0.000000
2.261947, 0.000000
2.293363, 0.000000
2.324779, 0.000000
2.356194, 0.000000
2.387610, 0.000000
2.419026, 0.000000
2.450442, 0.000000
2.481858, 0.000000
2.513274, 0.000001
2.544690, 0.000005
2.576106, 0.000016
2.607522, 0.000051
2.638938, 0.000151
2.670354, 0.000427
2.701770, 0.001137
2.733186, 0.002847
2.764602, 0.006694
2.796017, 0.014756
2.827433, 0.030445
2.858849, 0.058684
2.890265, 0.105503
2.921681, 0.176643
2.953097, 0.275144
2.984513, 0.398583
3.015929, 0.537450
3.047345, 0.676315
3.078761, 0.798237
3.110177, 0.890754
