x,u
0.000000, -25279985981880701262928911727268462592.000000
0.031416, 30142434298532683566957525772011569152.000000
0.062832, -33945847623926760241209147632048406528.000000
0.094248, 36227015645968550073172978278447710208.000000
0.125664, -36663043019928120610349510278858670080.000000
0.157080, 35173492933656117653654862821276516352.000000
0.188496, -31960971173955171065512660102562185216.000000
0.219911, 27475978579913167569967163663580135424.000000
0.251327, -22317536943072599026312520087883481088.000000
0.282743, 17102482967495644277997190202462830592.000000
0.314159, -12344640332775983243658381511048036352.000000
0.345575, 8377414988541281060579459572724400128.000000
0.376991, -5334194596994563548338419703197204480.000000
0.408407, 3179550020975893457874122545041506304.000000
0.439823, -1769663849257817456652939691175182336.000000
0.471239, 917052252465880233646398842509197312.000000
0.502655, -441021770819518607986431016520646656.000000
0.534071, 196099375907802076871939550850580480.000000
0.565487, -80277377238752559333644891930492928.000000
0.596903, 30107331975937442439976966250561536.000000
0.628319, -10285294951512086341740341783166976.000000
0.659734, 3178914024304423060011843460268032.000000
0.691150, -881720428719603987568547348873216.000000
0.722566, 217311688195730749692989621141504.000000
0.753982, -47012491821881360349034134372352.000000
0.785398, 8789279515170070392523209048064.000000
0.816814, -1391290564154817491146654089216.000000
0.848230, 181317822082360802314656153600.000000
0.879646, -18679228376182529210342965248.000000
0.911062, 1426295214887961071045312512.000000
0.942478, -71763405623173409335672832.000000
0.973894, 1784692024660071915978752.000000
1.005310, -109.927762
1.036726, 4787.450978
1.068142, -164770.684038
1.099557, 4667636.163917
1.130973, -111923767.151838
1.162389, 2318683126.972442
1.193805, -42152420787.745834
1.225221, 680750079514.841309
1.256637, -9863403561262.291016
1.288053, 129260845865658.187500
1.319469, -1542608339555283.500000
1.350885, 16861221503133972.000000
1.382301, -169630920902783840.000000
1.413717, 1577437829830432256.000000
1.445133, -13609499676543270912.000000
1.476549, 109292198291703185408.000000
1.507964, -819298408579492085760.000000
1.539380, 5747900716681793634304.000000
1.570796, -37824944273147060813824.000000
1.602212, 233955174729068339789824.000000
1.633628, -1362588905979597572538368.000000
1.665044, 7484926207947592096022528.000000
1.696460, -38836730699635611578400768.000000
1.727876, 190594040052025977351438336.000000
1.759292, -885747847424897863206830080.000000
1.790708, 3902265072660850097147346944.000000
1.822124, -16313789478811225580109824000.000000
1.853540, 64775051555415087064280989696.000000
1.884956, -244466980202234849264807182336.000000
1.916372, 877609141972889678569732571136.000000
1.947787, -2998653825532024994738634489856.000000
1.979203, 9757544894255994767478945218560.000000
2.010619, -30252373629488394362632070496256.000000
2.042035, 89406919729401575959420899164160.000000
2.073451, -251963436675026593228885856354304.000000
2.104867, 677322533383862545692238070939648.000000
2.136283, -1737232464853127097786436077748224.000000
2.167699, 4252205345330873355353939421167616.000000
2.199115, -9934159523885530228412241967841280.000000
2.230531, 22154046603257881264335403031199744.000000
2.261947, -47163111271552719556878252881477632.000000
2.293363, 95847285109857535031379423305662464.000000
2.324779, -185936151793099464351716327626375168.000000
2.356194, 344279499233301126963954150656704512.000000
2.387610, -608353658209262175776888939048075264.000000
2.419026, 1025676235486108618324573841250058240.000000
2.450442, -1649536199786111903258610290372116480.000000
2.481858, 2529733415146806485174066863159640064.000000
2.513274, -3698176775052404062116816595342852096.000000
2.544690, 5151248187616396625554246095180136448.000000
2.576106, -6833328315795621929129049817475973120.000000
2.607522, 8627766074885956191447097748679032832.000000
2.638938, -10361557542648272456901974362274398208.000000
2.670354, 11827162907672702915961714770968576000.000000
2.701770, -12819439492011767271333264475136458752.000000
2.733186, 13179304886487224562094276136375681024.000000
2.764602, -12831232823004488327707717497406881792.000000
2.796017, 11801618900846807688532017990516867072.000000
2.827433, -10210360647061931612728984041089400832.000000
2.858849, 8237089261303439484644388006946406400.000000
2.890265, -6072738527848224932500684388278730752.000000
2.921681, 3872563041103278247786956764703883264.000000
2.953097, -1726000169437111130082358594122022912.000000
2.984513, -347642760588688415100869593125617664.000000
3.015929, 2377980546672621331556395168003260416.000000
3.047345, -4405649029013120499202893063882014720.000000
3.078761, 6441518529414703692576622672139517952.000000
3.110177, -8437182366514937539276119488688291840.000000
