x,u
0.000000, 18810129.731159
0.031416, -68058521.069903
0.062832, 207025539.800126
0.094248, -532089209.608234
0.125664, 1158293596.909034
0.157080, -2135785718.355385
0.188496, 3328202987.122897
0.219911, -4361855190.957649
0.251327, 4770088895.433234
0.282743, -4302169277.934016
0.314159, 3146042584.412559
0.345575, -1819430536.875771
0.376991, 801219798.573972
0.408407, -252451286.294288
0.439823, 49968768.576116
0.471239, -562968.257890
0.502655, -18810128.731159
0.534071, 68058522.069903
0.565487, -207025538.800126
0.596903, 532089210.608234
0.628319, -1158293595.909034
0.659734, 2135785719.355385
0.691150, -3328202986.122897
0.722566, 4361855191.957649
0.753982, -4770088894.513000
0.785398, 4302169282.895749
0.816814, -3146042677.569458
0.848230, 1819431962.740680
0.879646, -801235208.534115
0.911062, 252578045.523474
0.942478, -50792436.705226
0.973894, 4898762.930961
1.005310, 0.000000
1.036726, 0.000000
1.068142, 0.000000
1.099557, 0.000000
1.130973, 0.000000
1.162389, 0.000000
1.193805, 0.000000
1.225221, 0.000000
1.256637, 0.000000
1.288053, 0.000000
1.319469, 0.000000
1.350885, 0.000000
1.382301, 0.000000
1.413717, 0.000000
1.445133, 0.000000
1.476549, 0.000000
1.507964, 0.000000
1.539380, 0.000000
1.570796, 0.000000
1.602212, 0.000000
1.633628, 0.000000
1.665044, 0.000000
1.696460, 0.000000
1.727876, 0.000000
1.759292, 0.000000
1.790708, 0.000000
1.822124, 0.000000
1.853540, 0.000000
1.884956, 0.000000
1.916372, 0.000000
1.947787, 0.000000
1.979203, 0.000000
2.010619, 0.000000
2.042035, 0.000000
2.073451, 0.000000
2.104867, 0.000000
2.136283, 0.000000
2.167699, 0.000000
2.199115, 0.000000
2.230531, 0.000000
2.261947, 0.000000
2.293363, 0.000000
2.324779, 0.000000
2.356194, 0.000000
2.387610, 0.000000
2.419026, 0.000000
2.450442, 0.000000
2.481858, 0.000000
2.513274, 0.000000
2.544690, 0.000000
2.576106, 0.000000
2.607522, 0.000000
2.638938, 0.000000
2.670354, 0.000000
2.701770, 0.000000
2.733186, 0.000000
2.764602, 0.000000
2.796017, 0.000000
2.827433, 0.000000
2.858849, 0.000000
2.890265, 0.000000
2.921681, 0.000000
2.953097, 0.000000
2.984513, 0.000000
3.015929, 0.000000
3.047345, 0.000000
3.078761, 0.000000
3.110177, 0.000000
