x,u
0.000000, 0.002342
0.031416, -0.018357
0.062832, 0.101830
0.094248, -0.404068
0.125664, 1.117168
0.157080, -1.930026
0.188496, 1.106490
0.219911, 3.500260
0.251327, -8.857409
0.282743, 3.864785
0.314159, 14.307575
0.345575, -19.264871
0.376991, -11.801043
0.408407, 34.411055
0.439823, 6.190532
0.471239, -43.322680
0.502655, -6.343088
0.534071, 43.191036
0.565487, 14.850336
0.596903, -30.855862
0.628319, -24.913270
0.659734, 11.706370
0.691150, 19.112644
0.722566, 3.996680
0.753982, 3.996680
0.785398, -11.119284
0.816814, -18.525558
0.848230, 18.094081
0.879646, 12.151489
0.911062, -33.554709
0.942478, -5.214010
0.973894, 44.320114
1.005310, 7.340522
1.036726, -42.172689
1.068142, -13.952167
1.099557, 32.259930
1.130973, 24.796102
1.162389, -8.776343
1.193805, -19.219133
1.225221, -6.496940
1.256637, 5.860729
1.288053, 8.254500
1.319469, 5.217984
1.350885, 2.170790
1.382301, 0.649553
1.413717, 0.143655
1.445133, 0.023467
1.476549, 0.002768
1.507964, 0.000224
1.539380, 0.000011
1.570796, 0.000000
1.602212, 0.000000
1.633628, 0.000000
1.665044, 0.000000
1.696460, 0.000000
1.727876, 0.000000
1.759292, 0.000000
1.790708, 0.000000
1.822124, 0.000000
1.853540, 0.000000
1.884956, 0.000000
1.916372, 0.000000
1.947787, 0.000000
1.979203, 0.000000
2.010619, 0.000000
2.042035, 0.000000
2.073451, 0.000000
2.104867, 0.000000
2.136283, 0.000000
2.167699, 0.000000
2.199115, 0.000000
2.230531, 0.000000
2.261947, 0.000000
2.293363, 0.000000
2.324779, 0.000000
2.356194, 0.000000
2.387610, 0.000000
2.419026, 0.000000
2.450442, 0.000000
2.481858, 0.000000
2.513274, 0.000000
2.544690, 0.000000
2.576106, 0.000000
2.607522, 0.000000
2.638938, 0.000000
2.670354, 0.000000
2.701770, 0.000000
2.733186, 0.000000
2.764602, 0.000000
2.796017, 0.000000
2.827433, 0.000000
2.858849, 0.000000
2.890265, 0.000000
2.921681, 0.000000
2.953097, 0.000000
2.984513, 0.000000
3.015929, -0.000000
3.047345, 0.000011
3.078761, -0.000202
3.110177, 0.002342
