x,u
0.000000, 0.000000
0.031416, -0.473458
0.062832, 1.246020
0.094248, -2.290870
0.125664, 1.816088
0.157080, 3.123798
0.188496, -11.175472
0.219911, 9.948217
0.251327, 12.455568
0.282743, -34.171732
0.314159, 6.459081
0.345575, 54.132466
0.376991, -38.499062
0.408407, -62.908701
0.439823, 65.645263
0.471239, 67.523048
0.502655, -73.049289
0.534071, -74.332573
0.565487, 52.525159
0.596903, 80.475023
0.628319, -16.263113
0.659734, -65.244183
0.691150, -10.314098
0.722566, 15.189513
0.753982, 15.189513
0.785398, 40.693123
0.816814, -14.236961
0.848230, -63.218031
0.879646, 33.520106
0.911062, 61.469970
0.942478, -65.387762
0.973894, -66.671046
1.005310, 73.901290
1.036726, 75.779075
1.068142, -52.774889
1.099557, -77.184529
1.130973, 15.446999
1.162389, 63.120383
1.193805, 22.489570
1.225221, -24.137729
1.256637, -26.645081
1.288053, -5.521392
1.319469, 8.777880
1.350885, 10.085566
1.382301, 5.978931
1.413717, 2.439079
1.445133, 0.739189
1.476549, 0.170897
1.507964, 0.030267
1.539380, 0.004058
1.570796, 0.000400
1.602212, 0.000027
1.633628, 0.000001
1.665044, 0.000000
1.696460, 0.000000
1.727876, 0.000000
1.759292, 0.000000
1.790708, 0.000000
1.822124, 0.000000
1.853540, 0.000000
1.884956, 0.000000
1.916372, 0.000000
1.947787, 0.000000
1.979203, 0.000000
2.010619, 0.000000
2.042035, 0.000000
2.073451, 0.000000
2.104867, 0.000000
2.136283, 0.000000
2.167699, 0.000000
2.199115, 0.000000
2.230531, 0.000000
2.261947, 0.000000
2.293363, 0.000000
2.324779, 0.000000
2.356194, 0.000000
2.387610, 0.000000
2.419026, 0.000000
2.450442, 0.000000
2.481858, 0.000000
2.513274, 0.000000
2.544690, 0.000000
2.576106, 0.000000
2.607522, 0.000000
2.638938, 0.000000
2.670354, 0.000000
2.701770, 0.000000
2.733186, 0.000000
2.764602, 0.000000
2.796017, 0.000000
2.827433, 0.000000
2.858849, 0.000000
2.890265, 0.000000
2.921681, 0.000000
2.953097, 0.000000
2.984513, 0.000000
3.015929, 0.000000
3.047345, 0.000000
3.078761, 0.000000
3.110177, 0.000000
