x,u
0.000000, 0.000000
0.031416, 0.000000
0.062832, 0.000000
0.094248, 0.000000
0.125664, 0.282430
0.157080, -3.483298
0.188496, 16.140325
0.219911, -27.669184
0.251327, -26.075336
0.282743, 155.091094
0.314159, -85.067105
0.345575, -348.082464
0.376991, 374.923038
0.408407, 514.690073
0.439823, -688.707741
0.471239, -636.188483
0.502655, 762.912739
0.534071, 710.393482
0.565487, -493.004333
0.596903, -632.771368
0.628319, 89.951704
0.659734, 356.732790
0.691150, 96.950969
0.722566, -40.405952
0.753982, -40.405952
0.785398, -177.762873
0.816814, 82.018948
0.848230, 348.800034
0.879646, -373.923038
0.911062, -513.690073
0.942478, 689.707741
0.973894, 637.188483
1.005310, -761.912739
1.036726, -709.393482
1.068142, 494.004333
1.099557, 633.771368
1.130973, -89.234133
1.162389, -352.249492
1.193805, -112.091294
1.225221, 69.075136
1.256637, 67.481288
1.288053, 23.671779
1.319469, 4.048157
1.350885, 0.282430
1.382301, 0.000000
1.413717, 0.000000
1.445133, 0.000000
1.476549, 0.000000
1.507964, 0.000000
1.539380, 0.000000
1.570796, 0.000000
1.602212, 0.000000
1.633628, 0.000000
1.665044, 0.000000
1.696460, 0.000000
1.727876, 0.000000
1.759292, 0.000000
1.790708, 0.000000
1.822124, 0.000000
1.853540, 0.000000
1.884956, 0.000000
1.916372, 0.000000
1.947787, 0.000000
1.979203, 0.000000
2.010619, 0.000000
2.042035, 0.000000
2.073451, 0.000000
2.104867, 0.000000
2.136283, 0.000000
2.167699, 0.000000
2.199115, 0.000000
2.230531, 0.000000
2.261947, 0.000000
2.293363, 0.000000
2.324779, 0.000000
2.356194, 0.000000
2.387610, 0.000000
2.419026, 0.000000
2.450442, 0.000000
2.481858, 0.000000
2.513274, 0.000000
2.544690, 0.000000
2.576106, 0.000000
2.607522, 0.000000
2.638938, 0.000000
2.670354, 0.000000
2.701770, 0.000000
2.733186, 0.000000
2.764602, 0.000000
2.796017, 0.000000
2.827433, 0.000000
2.858849, 0.000000
2.890265, 0.000000
2.921681, 0.000000
2.953097, 0.000000
2.984513, 0.000000
3.015929, 0.000000
3.047345, 0.000000
3.078761, 0.000000
3.110177, 0.000000
