x,u
0.000000, 0.000000
0.031416, -0.242218
0.062832, -0.156205
0.094248, -0.076315
0.125664, 0.000480
0.157080, 0.076205
0.188496, 0.151968
0.219911, 0.228092
0.251327, 0.304278
0.282743, 0.379778
0.314159, 0.453542
0.345575, 0.524324
0.376991, 0.590749
0.408407, 0.651352
0.439823, 0.704612
0.471239, 0.749015
0.502655, 0.783135
0.534071, 0.805753
0.565487, 0.815991
0.596903, 0.813429
0.628319, 0.798197
0.659734, 0.771003
0.691150, 0.733107
0.722566, 0.686237
0.753982, 0.632450
0.785398, 0.573983
0.816814, 0.513082
0.848230, 0.451857
0.879646, 0.392166
0.911062, 0.335529
0.942478, 0.283093
0.973894, 0.235624
1.005310, 0.193534
1.036726, 0.156926
1.068142, 0.125659
1.099557, 0.099404
1.130973, 0.077711
1.162389, 0.060059
1.193805, 0.045903
1.225221, 0.034706
1.256637, 0.025966
1.288053, 0.019230
1.319469, 0.014102
1.350885, 0.010242
1.382301, 0.007370
1.413717, 0.005255
1.445133, 0.003714
1.476549, 0.002603
1.507964, 0.001809
1.539380, 0.001247
1.570796, 0.000853
1.602212, 0.000579
1.633628, 0.000390
1.665044, 0.000261
1.696460, 0.000173
1.727876, 0.000114
1.759292, 0.000075
1.790708, 0.000049
1.822124, 0.000032
1.853540, 0.000020
1.884956, 0.000013
1.916372, 0.000008
1.947787, 0.000005
1.979203, 0.000003
2.010619, 0.000002
2.042035, 0.000001
2.073451, 0.000001
2.104867, 0.000000
2.136283, 0.000000
2.167699, 0.000000
2.199115, 0.000000
2.230531, 0.000000
2.261947, 0.000000
2.293363, 0.000000
2.324779, 0.000000
2.356194, 0.000000
2.387610, 0.000000
2.419026, 0.000000
2.450442, 0.000000
2.481858, 0.000000
2.513274, 0.000000
2.544690, 0.000000
2.576106, 0.000000
2.607522, 0.000000
2.638938, 0.000000
2.670354, 0.000000
2.701770, 0.000000
2.733186, 0.000000
2.764602, 0.000000
2.796017, 0.000000
2.827433, 0.000000
2.858849, 0.000000
2.890265, 0.000000
2.921681, 0.000000
2.953097, 0.000000
2.984513, 0.000000
3.015929, 0.000000
3.047345, 0.000000
3.078761, 0.000000
3.110177, 0.000000
