x,u
0.000000, 0.000000
0.050000, 0.045861
0.100000, -0.010414
0.150000, 0.047779
0.200000, -0.021055
0.250000, 0.051606
0.300000, -0.032138
0.350000, 0.057322
0.400000, -0.043851
0.450000, 0.064891
0.500000, -0.056350
0.550000, 0.074253
0.600000, -0.069738
0.650000, 0.085316
0.700000, -0.084063
0.750000, 0.097947
0.800000, -0.099304
0.850000, 0.111961
0.900000, -0.115366
0.950000, 0.127119
1.000000, -0.132074
1.050000, 0.143120
1.100000, -0.149176
1.150000, 0.159602
1.200000, -0.166342
1.250000, 0.176148
1.300000, -0.183179
1.350000, 0.192291
1.400000, -0.199240
1.450000, 0.207535
1.500000, -0.214046
1.550000, 0.221370
1.600000, -0.227107
1.650000, 0.233296
1.700000, -0.237950
1.750000, 0.242853
1.800000, -0.246145
1.850000, 0.249644
1.900000, -0.251332
1.950000, 0.253360
2.000000, -0.253250
2.050000, 0.253808
2.100000, -0.251748
2.150000, 0.250919
2.200000, -0.246806
2.250000, 0.244761
2.300000, -0.238538
2.350000, 0.235539
2.400000, -0.227184
2.450000, 0.223585
2.500000, -0.213105
2.550000, 0.209335
2.600000, -0.196756
2.650000, 0.193312
2.700000, -0.178663
2.750000, 0.176087
2.800000, -0.159391
2.850000, 0.158249
2.900000, -0.139513
2.950000, 0.140366
3.000000, -0.119578
3.050000, 0.122961
3.100000, -0.100084
3.150000, 0.106476
3.200000, -0.081457
3.250000, 0.091263
3.300000, -0.064036
3.350000, 0.077563
3.400000, -0.048066
3.450000, 0.065512
3.500000, -0.033698
3.550000, 0.055142
3.600000, -0.020998
3.650000, 0.046393
3.700000, -0.009954
3.750000, 0.039133
3.800000, -0.000498
3.850000, 0.033179
3.900000, 0.007486
3.950000, 0.028314
4.000000, 0.014138
4.050000, 0.024309
4.100000, 0.019612
4.150000, 0.020943
4.200000, 0.024063
4.250000, 0.018015
4.300000, 0.027637
4.350000, 0.015353
4.400000, 0.030464
4.450000, 0.012823
4.500000, 0.032656
4.550000, 0.010330
4.600000, 0.034305
4.650000, 0.007814
4.700000, 0.035482
4.750000, 0.005251
4.800000, 0.036239
4.850000, 0.002640
4.900000, 0.036610
4.950000, 0.000000
