x,u
0.000000, -51456.983263
0.031416, -170534.293776
0.062832, -38584.374232
0.094248, 728588.597779
0.125664, -430925.366991
0.157080, -1496859.702995
0.188496, 2031238.657995
0.219911, 2044802.894956
0.251327, -5013978.631325
0.282743, -1734287.789058
0.314159, 8989853.019133
0.345575, 434100.613521
0.376991, -13007335.806873
0.408407, 1116238.968752
0.439823, 15988782.317231
0.471239, -1763144.178089
0.502655, -17068917.078687
0.534071, 938502.332825
0.565487, 15663401.813934
0.596903, 731571.476588
0.628319, -11565043.759604
0.659734, -1942222.439117
0.691150, 5256738.580881
0.722566, 1964784.175012
0.753982, 1964784.175012
0.785398, -1327170.230856
0.816814, -8526131.250853
0.848230, 1096690.069634
0.879646, 13393305.305825
0.911062, -1538525.031521
0.942478, -16263424.512630
0.973894, 1743994.898882
1.005310, 17049767.799480
1.036726, -702158.695840
1.068142, -15574702.044319
1.099557, -1451127.268693
1.130973, 11990309.151701
1.162389, 3434556.609689
1.193805, -7289580.610608
1.225221, -4009931.509589
1.256637, 3049125.617335
1.288053, 3061616.561741
1.319469, -464430.626706
1.350885, -1529041.900641
1.382301, -386809.256466
1.413717, 413163.505021
1.445133, 302261.132319
1.476549, 6534.451365
1.507964, -79131.013956
1.539380, -38897.249194
1.570796, -2155.754526
1.602212, 6127.045707
1.633628, 3538.505679
1.665044, 1081.001139
1.696460, 209.948380
1.727876, 26.175358
1.759292, 1.931146
1.790708, 0.064611
1.822124, 0.000000
1.853540, 0.000000
1.884956, 0.000000
1.916372, 0.000000
1.947787, 0.000000
1.979203, 0.000000
2.010619, 0.000000
2.042035, 0.000000
2.073451, 0.000000
2.104867, 0.000000
2.136283, 0.000000
2.167699, 0.000000
2.199115, 0.000000
2.230531, 0.000000
2.261947, 0.000000
2.293363, 0.000000
2.324779, 0.000000
2.356194, 0.000000
2.387610, 0.000000
2.419026, 0.000000
2.450442, 0.000000
2.481858, 0.000000
2.513274, 0.000000
2.544690, 0.000000
2.576106, 0.000000
2.607522, 0.000000
2.638938, 0.000000
2.670354, 0.000000
2.701770, 0.000000
2.733186, 0.000000
2.764602, 0.000000
2.796017, 0.000000
2.827433, 0.000000
2.858849, 0.000000
2.890265, 0.000000
2.921681, 0.000000
2.953097, 0.000000
2.984513, 0.000000
3.015929, 0.000000
3.047345, 0.000000
3.078761, 0.000000
3.110177, 0.000000
